Sl. No.,Constituent,Spec,Rate,Inclusion,Specification,
1,Substructure,5,250,"Earthwork � Excavation of Soil up to 7 feet | Backfilling | Compaction
 Anti-Termite Treatment
 Leveling Course
Footings at depth of 6 feet from Original Ground
 Pedestal Columns of 4 feet
 Plinth Beam of 250 mm for a length of 400 running feet
Under slab plumbing & electrical conduits
Grade Slab of 100 mm thickness
Underground Tank of 10,000 liters","Shuttering material made of used plywood in good condition
Reinforcement Steel of Primary Grade of make JSW or equivalent
Ready Mix Concrete of mostly M25 Grade from a branded plant
Conduit pipes of Finolex or equivalent
Grade slab anchored to the plinth beams and poured along with beams
Underground Tank in RCC with positive side waterproofing and foodgrade coating
Pumps, motors, cables, and pipes will be part of Service Budget",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,Substructure,4,250,soft soil,,
,Substructure,3,250,soft soil,,
,Substructure,2,250,soft soil,,
,Substructure,1,250,soft soil,,
2,Substructure Basement,NA,,"Basement Masonry
Basement Flooring
Plumbing & sanitary in basement
Painting
Drainage system
Ventilation
Lightening
staircase
Lift",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Substructure Basement,1,1600,,,
,Substructure Basement,2,1600,,,
,Substructure Basement,3,1600,,,
,Substructure Basement,4,1600,,,
,Substructure Basement,5,1600,,,
3,Superstructure,5,1200,"RCC Slabs, Beams, slabs  
 Formwork for slabs, beams, columns, staircase
RCC slabs thickness of 100mm
 Columns of 10 feet slab to slab level
Plinth beams of varying width 250-350mm
 Core cut in slabs for plumbing & electrical conduits
Overhead Tank of 10,000 liters","Shuttering material made of used plywood in good condition
Precut reinforcement Steel of Primary Grade of make JSW or equivalent
Ready Mix Concrete of mostly M25 Grade from a branded plant
Conduit pipes of Finolex or equivalent
Overhead Tank in RCC with positive side waterproofing and food-grade coating
Pumps, motors, cables, and pipes will be part of Service Budget",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3,Superstructure,4,1000,,,
3,Superstructure,3,900,,,
3,Superstructure,2,800,,,
3,Superstructure,1,700,,,
4,Masonry & Plaster,2,80,"Construction of external & internal walls at all levels
External & internal gypsum plastering of 25mm thickness
Solid brick 4� & 9�
Construction of lintels in M25 site mix concrete
RCC band of 75mm at sill level","Burnt brick masonry of 4�, 6� thickness
Gypsum plaster with 1:6 CM ratio
Chicken mesh at all joints
Floor to Floor height 11�
Building wall in English bond
Cement mortar ratio of 1:6 at the base of wall
Reinforcement Steel of Primary Grade of make JSW or equivalent",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
4,Masonry & Plaster,1,90,,,
4,Masonry & Plaster,3,140,,,
4,Masonry & Plaster,4,150,,,
4,Masonry & Plaster,5,170,,,
5,External doors & windows,5,900,"Teak wood doors with height 7� and width varying from 2ft-4ft
Teak wood framed window with opening height varying from 4�-7�
Teak wood door panel of 30-40mm thickness
Tempered glass to be used for windows
Mosquito mesh of 40 size
Door latch, tower bolt, hinges 
2mm beading to be provided along the length
0.6mm thickness veneer","Burma or equivalent teak wood to be used for door panels and frames
Polyester mosquito mesh to be used for windows.
Teak wood beading along the length of door and window panel
Teak veneer to be glued over the surface of door and window panel
Brass door accessories of Hettich or similar brand to be used
1 coat of PU hand polish to be applied over the wood panel",
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
5,External doors & windows,1,250,ply flush door,,
5,External doors & windows,2,320,flush teak ply,,
5,External doors & windows,3,600,teak wood,,
5,External doors & windows,4,700,ply flush door+mosquito mesh,,
